#REFERENCE 3 0.0000000 0.0000000
81    0.00    0.00  19.60  16.00   0.000    0.20  71.269 668.146 1400.0 0.300   0.00 O1 0
81   -0.00    0.00   7.63   6.78  90.000    0.12   1.453  30.195  521.3 0.300   0.00 1 1
81  -20.00    0.00   2.95   1.96 350.000    0.38   0.421   8.749  280.6 0.300   0.00 10 2
81   -0.00   20.00   3.70   2.77  20.000    0.28   0.594  12.358  333.5 0.300   0.00 11 3
81   10.01   30.00   1.85   1.38  20.000    0.28   0.297   6.165  235.6 0.300   0.00 12 4
81  -20.00   35.00   2.24   1.79 330.000    0.22   0.384   7.979  268.0 0.300   0.00 2 5
81  -40.00    5.00   5.88   3.92   0.000    0.38   0.840  17.456  396.4 0.300   0.00 3 6
81  -20.00  -35.00   6.33   2.53  95.000    0.72   0.542  11.270  318.5 0.300   0.00 4 7
81   -0.00  -40.00   7.91   3.96  70.000    0.60   0.848  17.617  398.2 0.300   0.00 5 8
81   20.02  -25.00   4.22   3.79  50.000    0.10   0.813  16.902  390.0 0.300   0.00 6 9
81   40.00  -20.00   1.85   1.38 340.000    0.28   0.297   6.165  235.6 0.300   0.00 7 10
81   29.99   10.00   4.79   3.35   0.000    0.34   0.718  14.926  366.5 0.300   0.00 8 11
81   10.01    0.00   5.16   3.10   0.000    0.47   0.664  13.802  352.4 0.300   0.00 9 12
